Connecting to host speedtest.serverius.net, port 5002
[  4] local 2806:2f0:9801:b2b6:d4e1:4ac9:15a3:233a port 43388 connected to 2a00:1ca8:33::2 port 5002
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  25.00-25.25  sec   943 KBytes  30.9 Mbits/sec    0    744 KBytes       
[  4]  25.25-25.50  sec   818 KBytes  26.8 Mbits/sec    0    763 KBytes       
[  4]  25.50-25.75  sec   755 KBytes  24.7 Mbits/sec    0    782 KBytes       
[  4]  25.75-26.00  sec   755 KBytes  24.8 Mbits/sec    0    804 KBytes       
[  4]  26.00-26.25  sec   629 KBytes  20.6 Mbits/sec    0    822 KBytes       
[  4]  26.25-26.50  sec   880 KBytes  28.7 Mbits/sec    0    842 KBytes       
[  4]  26.50-26.75  sec  1.04 MBytes  35.2 Mbits/sec    0    879 KBytes       
[  4]  26.75-27.00  sec  1.04 MBytes  35.0 Mbits/sec    0    908 KBytes       
[  4]  27.00-27.25  sec  1.25 MBytes  42.0 Mbits/sec    0    943 KBytes       
[  4]  27.25-27.50  sec  1.15 MBytes  38.4 Mbits/sec    0    971 KBytes       
[  4]  27.50-27.75  sec  1.04 MBytes  35.0 Mbits/sec    0   1004 KBytes       
[  4]  27.75-28.00  sec  1.25 MBytes  42.0 Mbits/sec    0   1.02 MBytes       
[  4]  28.00-28.25  sec   858 KBytes  28.1 Mbits/sec    0   1.04 MBytes       
[  4]  28.25-28.50  sec  0.00 Bytes  0.00 bits/sec   77    339 KBytes       
[  4]  28.50-28.75  sec  1.25 MBytes  41.9 Mbits/sec    0    368 KBytes       
[  4]  28.75-29.00  sec   544 KBytes  17.8 Mbits/sec    0    522 KBytes       
[  4]  29.00-29.25  sec   818 KBytes  26.8 Mbits/sec    0    539 KBytes       
[  4]  29.25-29.50  sec   692 KBytes  22.6 Mbits/sec    0    550 KBytes       
[  4]  29.50-29.75  sec   755 KBytes  24.8 Mbits/sec    0    561 KBytes       
[  4]  29.75-30.00  sec   692 KBytes  22.7 Mbits/sec    0    571 KBytes       
[  4]  30.00-30.25  sec   880 KBytes  28.9 Mbits/sec    0    581 KBytes       
[  4]  30.25-30.50  sec   755 KBytes  24.7 Mbits/sec    0    588 KBytes       
[  4]  30.50-30.75  sec   818 KBytes  26.7 Mbits/sec    0    595 KBytes       
[  4]  30.75-31.00  sec   755 KBytes  24.8 Mbits/sec    0    602 KBytes       
[  4]  31.00-31.25  sec   880 KBytes  28.8 Mbits/sec    0    607 KBytes       
[  4]  31.25-31.50  sec   880 KBytes  28.8 Mbits/sec    0    612 KBytes       
[  4]  31.50-31.75  sec   755 KBytes  24.7 Mbits/sec    0    615 KBytes       
[  4]  31.75-32.00  sec   818 KBytes  26.8 Mbits/sec    0    619 KBytes       
[  4]  32.00-32.25  sec   943 KBytes  30.9 Mbits/sec    0    622 KBytes       
[  4]  32.25-32.50  sec   755 KBytes  24.8 Mbits/sec    0    625 KBytes       
[  4]  32.50-32.75  sec   880 KBytes  28.8 Mbits/sec    0    626 KBytes       
[  4]  32.75-33.00  sec   880 KBytes  28.9 Mbits/sec    0    628 KBytes       
[  4]  33.00-33.25  sec   755 KBytes  24.7 Mbits/sec    0    629 KBytes       
[  4]  33.25-33.50  sec   943 KBytes  30.9 Mbits/sec    0    630 KBytes       
[  4]  33.50-33.75  sec   880 KBytes  28.8 Mbits/sec    0    630 KBytes       
[  4]  33.75-34.00  sec   818 KBytes  26.8 Mbits/sec    0    630 KBytes       
[  4]  34.00-34.25  sec   943 KBytes  30.9 Mbits/sec    0    630 KBytes       
[  4]  34.25-34.50  sec   880 KBytes  28.9 Mbits/sec    0    630 KBytes       
[  4]  34.50-34.75  sec   692 KBytes  22.7 Mbits/sec    0    630 KBytes       
[  4]  34.75-35.00  sec   943 KBytes  30.9 Mbits/sec    0    630 KBytes       
[  4]  35.00-35.25  sec   943 KBytes  30.9 Mbits/sec    0    630 KBytes       
[  4]  35.25-35.50  sec   755 KBytes  24.7 Mbits/sec    0    630 KBytes       
[  4]  35.50-35.75  sec  1006 KBytes  33.0 Mbits/sec    0    630 KBytes       
[  4]  35.75-36.00  sec   755 KBytes  24.8 Mbits/sec    0    632 KBytes       
[  4]  36.00-36.25  sec  1006 KBytes  33.0 Mbits/sec    0    632 KBytes       
[  4]  36.25-36.50  sec   818 KBytes  26.8 Mbits/sec    0    633 KBytes       
[  4]  36.50-36.75  sec   818 KBytes  26.8 Mbits/sec    0    634 KBytes       
[  4]  36.75-37.00  sec   880 KBytes  28.9 Mbits/sec    0    637 KBytes       
[  4]  37.00-37.25  sec   880 KBytes  28.8 Mbits/sec    0    638 KBytes       
[  4]  37.25-37.50  sec   880 KBytes  28.9 Mbits/sec    0    641 KBytes       
[  4]  37.50-37.75  sec   943 KBytes  30.9 Mbits/sec    0    645 KBytes       
[  4]  37.75-38.00  sec   880 KBytes  28.9 Mbits/sec    0    649 KBytes       
[  4]  38.00-38.25  sec   880 KBytes  28.9 Mbits/sec    0    654 KBytes       
[  4]  38.25-38.50  sec   126 KBytes  4.12 Mbits/sec   46    457 KBytes       
[  4]  38.50-38.75  sec  1.17 MBytes  39.1 Mbits/sec    0    465 KBytes       
[  4]  38.75-39.00  sec   818 KBytes  26.8 Mbits/sec    0    485 KBytes       
[  4]  39.00-39.25  sec   629 KBytes  20.6 Mbits/sec    0    503 KBytes       
[  4]  39.25-39.50  sec   692 KBytes  22.7 Mbits/sec    0    520 KBytes       
[  4]  39.50-39.75  sec   755 KBytes  24.7 Mbits/sec    0    535 KBytes       
[  4]  39.75-40.00  sec   692 KBytes  22.7 Mbits/sec    0    550 KBytes       
[  4]  40.00-40.25  sec   818 KBytes  26.8 Mbits/sec    0    563 KBytes       
[  4]  40.25-40.50  sec   692 KBytes  22.6 Mbits/sec    0    573 KBytes       
[  4]  40.50-40.75  sec   818 KBytes  26.8 Mbits/sec    0    585 KBytes       
[  4]  40.75-41.00  sec   880 KBytes  28.8 Mbits/sec    0    596 KBytes       
[  4]  41.00-41.25  sec   755 KBytes  24.8 Mbits/sec    0    603 KBytes       
[  4]  41.25-41.50  sec   755 KBytes  24.7 Mbits/sec    0    611 KBytes       
[  4]  41.50-41.75  sec   943 KBytes  30.9 Mbits/sec    0    619 KBytes       
[  4]  41.75-42.00  sec   880 KBytes  28.9 Mbits/sec    0    625 KBytes       
[  4]  42.00-42.25  sec   818 KBytes  26.8 Mbits/sec    0    630 KBytes       
[  4]  42.25-42.50  sec   880 KBytes  28.8 Mbits/sec    0    636 KBytes       
[  4]  42.50-42.75  sec   880 KBytes  28.8 Mbits/sec    0    638 KBytes       
[  4]  42.75-43.00  sec   880 KBytes  28.9 Mbits/sec    0    643 KBytes       
[  4]  43.00-43.25  sec   943 KBytes  30.9 Mbits/sec    0    645 KBytes       
[  4]  43.25-43.50  sec   818 KBytes  26.8 Mbits/sec    0    648 KBytes       
[  4]  43.50-43.75  sec   943 KBytes  30.9 Mbits/sec    0    649 KBytes       
[  4]  43.75-44.00  sec   880 KBytes  28.9 Mbits/sec    0    652 KBytes       
[  4]  44.00-44.25  sec   818 KBytes  26.8 Mbits/sec    0    654 KBytes       
[  4]  44.25-44.50  sec  1006 KBytes  32.9 Mbits/sec    0    654 KBytes       
[  4]  44.50-44.75  sec   880 KBytes  28.8 Mbits/sec    0    654 KBytes       
[  4]  44.75-45.00  sec   818 KBytes  26.8 Mbits/sec    0    654 KBytes       
[  4]  45.00-45.25  sec  1.04 MBytes  35.1 Mbits/sec    0    654 KBytes       
